method,dog,elephant,giraffe,guitar,horse,house,person,mean_class_acc
ERM,0.6696891191709845,0.6135135135135135,0.4900398406374502,0.7549342105263158,0.3492647058823529,0.1875,0.66875,0.533384484247231
DAN-DG,0.5207253886010362,0.8391891891891892,0.6679946879150066,0.7269736842105263,0.47549019607843135,0.8375,0.58125,0.6641604494277413
SAM (ρ=0.01),0.594559585492228,0.8837837837837837,0.601593625498008,0.819078947368421,0.25245098039215685,0.45,0.83125,0.6332452746477998
SAM (ρ=0.05),0.2772020725388601,0.9932432432432432,0.4754316069057105,0.6480263157894737,0.32230392156862747,0.5625,0.69375,0.5674938800065593
SAM (ρ=0.1),0.572538860103627,0.9135135135135135,0.4953519256308101,0.756578947368421,0.3394607843137255,0.625,0.66875,0.624456290132871
