method,photo_val_acc,photo_val_f1,art_painting_val_acc,art_painting_val_f1,cartoon_val_acc,cartoon_val_f1,mean_source_val_acc,mean_source_val_f1,worst_source_val_acc,worst_source_val_f1,sketch_acc,sketch_f1,sketch_delta_acc,source_separability_3class,sharpness_proxy
ERM,0.9820359281437125,0.9782989099254159,0.9243902439024391,0.9271977041431075,0.9509594882729211,0.9550181642711335,0.9524618867730243,0.953504926113219,0.9243902439024391,0.9271977041431075,0.5614660218885212,0.5237719409004364,0.0,0.9036544850498339,0.38482916355133057
DAN-DG,0.9760479041916168,0.9727678597462884,0.9219512195121952,0.9239990120152726,0.9552238805970149,0.958427656920211,0.9510743347669424,0.9517315095605907,0.9219512195121952,0.9239990120152726,0.6403665054721304,0.6571208445373783,0.07890048358360913,0.6411960132890365,0.3896105885505676
SAM (ρ=0.01),0.9790419161676647,0.9750644151102589,0.948780487804878,0.9476742414400868,0.9573560767590619,0.9600740195212946,0.9617261602438681,0.9609375586905468,0.948780487804878,0.9476742414400868,0.6207686434207177,0.6075320816654589,0.05930262153219645,0.9169435215946844,0.2801539897918701
SAM (ρ=0.05),0.9850299401197605,0.9819084718683112,0.9463414634146341,0.9455299317365861,0.9680170575692963,0.9718787423208148,0.9664628203678971,0.9664390486419041,0.9463414634146341,0.9455299317365861,0.5395775006362942,0.5634921586218089,-0.021888521252227067,0.9036544850498339,0.138691246509552
SAM (ρ=0.1),0.9820359281437125,0.9782595603733816,0.9341463414634147,0.9346695924366993,0.9488272921108742,0.9527146781254918,0.9550031872393339,0.9552146103118576,0.9341463414634147,0.9346695924366993,0.607024688215831,0.6213208097335287,0.04555866632730976,0.9169435215946844,0.15268772840499878
