Model,Clean Acc,Clean Macro-F1,Mean Max Conf,Gray Acc,Gray Consistency,Hue Acc,Hue Consistency,Shape Bias %,CC Coverage %,Trans32 Acc,Trans32 Consistency,Patch Acc,Patch Consistency,Stability Gray,Stability Patch,Stability Trans32,Stability CC
ResNet-50,0.91,0.9105234070339018,0.6392178535461426,0.856,0.874,0.8,0.84,91.875,55.55555555555556,0.9045000000000001,0.9589999999999999,0.732,0.754,0.8474152088165283,0.6793808341026306,0.9411128759384155,0.5321465134620667
ViT-B/16,0.93,0.9303660282108558,0.8589292168617249,0.884,0.924,0.848,0.856,96.34703196347031,76.04166666666666,0.9205,0.96,0.84,0.856,0.7920970320701599,0.6873987913131714,0.9338541030883789,0.5716078877449036
CLIP,0.754,0.7514207932844371,0.04610162973403931,0.648,0.742,0.548,0.606,90.6832298136646,55.90277777777778,0.732,0.8945000000000001,0.428,0.476,0.9033812284469604,0.7769770622253418,0.9704833626747131,0.8073218464851379
CLIP (Zero-Shot),0.738,0.7153650697235863,0.7254146337509155,,,,,,,,,,,,,,
