method,photo_val_acc,photo_val_f1,art_painting_val_acc,art_painting_val_f1,cartoon_val_acc,cartoon_val_f1,mean_source_val_acc,mean_source_val_f1,worst_source_val_acc,worst_source_val_f1,target_acc,target_f1,target_delta_acc,domain_separability
CDAN,0.9700598802395209,0.9646008182865089,0.9243902439024391,0.9219599756525544,0.9339019189765458,0.9379344598319804,0.9427840143728353,0.9414984179236812,0.9243902439024391,0.9219599756525544,0.4087554085008908,0.3454919730977105,-0.14736574191906332,0.9972527472527473
DAN (λ=1),0.9640718562874252,0.9604295777695379,0.9341463414634147,0.9332211449873238,0.9509594882729211,0.9499795658030967,0.9497258953412536,0.9478767628533195,0.9341463414634147,0.9332211449873238,0.732247391193688,0.6831260318495203,0.17612624077373384,0.9340659340659341
DAN (λ=0.1),0.9760479041916168,0.9715682237663995,0.9146341463414634,0.9151714894100779,0.9466950959488273,0.9536277971665373,0.9457923821606359,0.9467891701143382,0.9146341463414634,0.9151714894100779,0.7146856706541105,0.6616276503901993,0.15856452023415635,0.9903846153846154
DAN (λ=10),0.9580838323353293,0.950610385657674,0.8780487804878049,0.8731000099318207,0.9125799573560768,0.9151375704293276,0.9162375233930703,0.912949322006274,0.8780487804878049,0.8731000099318207,0.6655637566810894,0.6185334725799806,0.10944260626113522,0.9244505494505495
DANN (α_max=1.0),0.9700598802395209,0.9670893728573138,0.8878048780487805,0.8839275994741993,0.8805970149253731,0.8847217355338243,0.9128205910712248,0.9119129026217792,0.8805970149253731,0.8839275994741993,0.20794095189615677,0.05267212124997398,-0.34818019852379734,1.0
Source-only (ERM),0.9790419161676647,0.9766513338404353,0.9317073170731708,0.9288481833615548,0.9424307036247335,0.9486699696122047,0.9510599789551897,0.951389828938065,0.9317073170731708,0.9288481833615548,0.5561211504199541,0.5539674564660392,0.0,0.9986263736263736
