epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.7465407948176066,0.9995555555555555,0.2516431324481964,0.9364,0.0016
2,0.7298908475557963,0.9983555555555556,0.3689967061519623,0.9184,0.00448
3,0.45114916135999894,0.9978222222222223,0.3546761082649231,0.9268,0.007359999999999999
4,0.36847808741463556,0.9991555555555556,0.3087852557182312,0.9328,0.010239999999999999
5,0.32015262983640036,0.9994222222222222,0.29507637906074524,0.9356,0.01312
6,0.2863097900178697,0.9996,0.258948633480072,0.939,0.016
7,0.2568964349985123,0.9994222222222222,0.2524369230270386,0.9408,0.015980524581827294
8,0.23383069959746466,0.9997777777777778,0.2364709813594818,0.9428,0.015922193209588854
9,0.21739390750990972,0.9996888888888888,0.23525739042758942,0.939,0.015825290067866777
10,0.20806708261436888,0.9998222222222222,0.22557330856323243,0.943,0.01569028725902686
11,0.2006119660509957,0.9998222222222222,0.2319627253293991,0.94,0.01551784250318334
12,0.1981211313698027,0.9997333333333334,0.2186303826570511,0.9422,0.015308795933852594
13,0.19479155476888022,0.9997777777777778,0.2179218140602112,0.9404,0.015064166004907122
14,0.19019937443203397,0.9998222222222222,0.21368219075202943,0.9422,0.014785144528770625
15,0.18618821819093492,0.9998666666666667,0.21862809340953826,0.9382,0.014473090870027705
16,0.1849269020318985,0.9998222222222222,0.20922489595413207,0.9438,0.014129525322736229
17,0.182891468612353,0.9997777777777778,0.20743807344436646,0.942,0.013756121703707517
18,0.18157913117143842,0.9998666666666667,0.20846474385261535,0.9422,0.013354699197839073
19,0.18008413933648004,0.9998666666666667,0.21370702793598176,0.9408,0.01292721349522864
20,0.17870882105297511,0.9998666666666667,0.21715288791656495,0.9398,0.012475747263248621
21,0.17795674239264594,0.9999555555555556,0.21333848209381104,0.9404,0.012002500000000001
22,0.17681535325580172,0.9998222222222222,0.20926597976684572,0.9406,0.011509777318578674
23,0.17707112086613974,0.9997333333333334,0.21234747834205628,0.9412,0.010999979714360217
24,0.17550286190244888,0.9999111111111111,0.21014703879356383,0.9406,0.010475590870027706
25,0.17563167459170023,0.9999111111111111,0.21193547897338869,0.9408,0.009939165555319346
26,0.1752945089234246,1.0,0.20944371879100798,0.941,0.00939331718044711
27,0.1747068275584115,0.9999111111111111,0.2113005182981491,0.9394,0.00884070506382489
28,0.17415828596750896,0.9999111111111111,0.21388122577667237,0.9402,0.008284021476136497
29,0.17366182669003805,1.0,0.2077045889854431,0.9432,0.007725978523863508
30,0.17326280930836996,0.9998222222222222,0.2132991752386093,0.9408,0.007169294936175112
31,0.172243751695421,0.9999111111111111,0.21165963056087495,0.9418,0.006616682819552893
32,0.17276319990158082,0.9998222222222222,0.21237152724266053,0.9418,0.006070834444680656
33,0.1718490066104465,0.9999111111111111,0.21790660965442657,0.9392,0.0055344091299722965
34,0.1725245451874203,0.9999111111111111,0.21475663321018218,0.9406,0.005010020285639784
35,0.17226760171519384,0.9999555555555556,0.21219288506507875,0.9418,0.0045002226814213255
36,0.17171419900258383,0.9999555555555556,0.21953469173908233,0.9396,0.0040075000000000015
37,0.17106727811230554,0.9998666666666667,0.21414490458965302,0.9404,0.0035342527367513803
38,0.1709629059712092,0.9999111111111111,0.21590895051956177,0.9398,0.003082786504771362
39,0.17174394266605378,0.9999555555555556,0.2106309581041336,0.9412,0.002655300802160928
40,0.17119403132067787,0.9999111111111111,0.21588335087299346,0.9398,0.0022538782962924836
41,0.17110398575994704,0.9999555555555556,0.21834567630290985,0.9388,0.0018804746772637716
42,0.17117167652712928,0.9999555555555556,0.21715181367397307,0.9392,0.0015369091299722959
43,0.17153444815741645,0.9998666666666667,0.21693798127174377,0.9392,0.0012248554712293743
44,0.17067048266728718,0.9999555555555556,0.22071331839561462,0.9382,0.0009458339950928804
45,0.17074807266659206,1.0,0.21982188849449158,0.9394,0.0007012040661474069
46,0.17096745660569931,0.9999555555555556,0.2195943431377411,0.939,0.0004921574968166629
47,0.17165372628106013,1.0,0.21819249699115753,0.9388,0.00031971274097314216
48,0.17173623843193053,0.9998666666666667,0.211696702337265,0.9408,0.00018470993213322347
49,0.17077168672084808,0.9999555555555556,0.2161826622724533,0.9394,8.780679041114582e-05
50,0.17168017347653708,1.0,0.20965260825157164,0.9406,2.9475418172705534e-05
