epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.6607319914076064,0.10757777777777777,2119.247620703125,0.098,0.16000000000000003
2,2.3488887833065455,0.1343777777777778,2.358633561706543,0.1782,0.44800000000000006
3,2.1297630546993678,0.19642222222222222,1.9729199741363526,0.2474,0.7360000000000001
4,1.998256709077623,0.23935555555555554,1.8937554756164552,0.3004,1.024
5,1.8984051646974351,0.2812,1.7885816648483277,0.3026,1.312
6,1.7700363668865629,0.32897777777777776,1.8821386722564697,0.2828,1.6
7,1.6559778839959038,0.38608888888888887,1.7181308027267457,0.3658,1.5995626086064543
8,1.5669611582862006,0.425,1.6139398405075074,0.4232,1.5982509127068838
9,1.5075472849739922,0.4517111111111111,1.7704131816864013,0.3558,1.5960663466214966
10,1.5191044531504314,0.45297777777777776,1.7388233606338501,0.3888,1.5930112991412337
11,1.4209661883672078,0.4886,1.4533656389236451,0.4896,1.589089110915661
12,1.2626158134248522,0.5454666666666667,1.548640580177307,0.4512,1.5843040708000184
13,1.112640209113227,0.6044666666666667,1.3327050201416015,0.5188,1.5786614111654187
14,1.0465524585935804,0.6292888888888889,1.77689354763031,0.4764,1.5721673021773277
15,0.9705854367468092,0.6564,1.949450433921814,0.4606,1.5648288450485786
16,0.898645473490821,0.6866666666666666,1.046401785850525,0.6312,1.5566540642742992
17,0.8193723875469632,0.7146444444444444,0.9359928942680359,0.6904,1.5476518988572459
18,0.7625353753831652,0.7336222222222222,0.8049509516716004,0.725,1.537832192533133
19,0.73729764374627,0.7434444444444445,0.8343397024154663,0.7218,1.527205683006655
20,0.7077962748845418,0.7539555555555556,1.1526269289016724,0.6478,1.5157839902099617
21,0.6856575587378608,0.7633111111111112,0.8447620958328247,0.7184,1.5035796035964353
22,0.6593097801738315,0.7716444444444445,0.8565702928543091,0.7084,1.4906058684836543
23,0.6339027208222283,0.7806888888888889,0.7818883781433106,0.7404,1.4768769714604861
24,0.6430284534772237,0.7782444444444444,0.7549686260223388,0.7378,1.4624079248742603
25,0.6110499460644192,0.7900666666666667,1.2846400190353393,0.6042,1.447214550414986
26,0.6186421797434489,0.7881111111111111,1.1137524658203124,0.6528,1.431313461814568
27,0.5999296174261305,0.7938666666666667,0.935084874534607,0.7032,1.414722046679933
28,0.5716161125183106,0.8027555555555556,0.6329480005264282,0.784,1.3974584474799383
29,0.5671008425606622,0.8044444444444444,1.1044686492919922,0.6564,1.3795415417068473
30,0.5605221668985155,0.8087777777777778,0.7243522057533264,0.7664,1.3609909212340694
31,0.5484997825834487,0.8102666666666667,0.6466000736236572,0.7896,1.3418268708927348
32,0.5452868064986335,0.8132888888888888,1.0500869634628296,0.6678,1.3220703462905272
33,0.5469910278214348,0.8126444444444444,0.9123279820442199,0.6902,1.3017429508970373
34,0.5142807801352607,0.8236,0.7673516157150269,0.7488,1.2808669124206837
35,0.5082721227857802,0.8254888888888889,0.531989346408844,0.8216,1.2594650585030416
36,0.5088362044122484,0.8272444444444444,0.9324516628265381,0.7242,1.2375607917571512
37,0.5008203240659502,0.8273333333333334,0.8131191648483277,0.7274,1.2151780641771033
38,0.4954976740837097,0.8308888888888889,0.621636706161499,0.797,1.1923413509468872
39,0.47542521591186526,0.8364,1.1007485900878906,0.6828,1.1690756236771354
40,0.471403777774175,0.8370888888888889,0.7114803980827331,0.7728,1.1454063230990326
41,0.47237666454315186,0.8378888888888889,0.7762952990531922,0.7432,1.1213593312452523
42,0.46309360711839465,0.8396,0.5686630409240723,0.8166,1.0969609431483318
43,0.45323074997795954,0.8450666666666666,0.6560736032485962,0.7828,1.072237838087442
44,0.4413348334259457,0.8477333333333333,0.7711044773101806,0.7582,1.047217050414986
45,0.4408592559761471,0.8471777777777778,0.8762194410324097,0.7246,1.021925939994932
46,0.43094508691363864,0.8513777777777778,0.5168129149436951,0.8168,0.9963921622852037
47,0.42871441796620685,0.8515777777777778,0.6818422409057617,0.7788,0.970643638096844
48,0.417647732284334,0.8548222222222223,0.5665229049682617,0.8216,0.9447085230630161
49,0.4199910630173153,0.8555111111111111,0.9994165241241455,0.7072,0.918615176851235
50,0.40419584936036,0.8598222222222223,0.55865649766922,0.8204,0.8923921321524841
51,0.39107554776933456,0.8652666666666666,0.4735766706943512,0.8458,0.8660680634811385
52,0.39742088351779514,0.8634,0.591085629940033,0.8108,0.8396717558198046
53,0.3816435895389981,0.8691777777777778,0.6827609827041626,0.7822,0.8132320731433628
54,0.3742501642068227,0.8700666666666667,0.47674666900634766,0.8464,0.7867779268566369
55,0.3701242352750566,0.8715777777777778,0.5359351214408874,0.8168,0.7603382441801956
56,0.36624597720040214,0.8734444444444445,0.6285437528610229,0.8094,0.7339419365188615
57,0.3431887207508087,0.881,0.5156697082042694,0.8322,0.7076178678475161
58,0.3393901709768507,0.8830666666666667,0.5838865862846374,0.8286,0.6813948231487649
59,0.335194125450982,0.8843333333333333,0.3786041135311127,0.8716,0.6553014769369838
60,0.32729605230755277,0.8872666666666666,0.4543584637641907,0.8532,0.6293663619031563
61,0.3177463332441118,0.8914888888888889,0.515414076423645,0.839,0.6036178377147964
62,0.3141971996360355,0.8913777777777778,0.542293447971344,0.8286,0.5780840600050683
63,0.30002336387634276,0.8974,0.34819377579689026,0.8762,0.5527929495850141
64,0.3028339910931057,0.8967777777777778,0.5457197125434875,0.8306,0.5277721619125577
65,0.2832042270766364,0.9022222222222223,0.43851054573059084,0.8554,0.503049056851668
66,0.27397165756755404,0.9063555555555556,0.47453560423851016,0.8474,0.4786506687547479
67,0.2613299430582258,0.9091555555555556,0.5080887061595917,0.845,0.4546036769009675
68,0.25615361555947197,0.9110222222222222,0.3569300408840179,0.8802,0.4309343763228648
69,0.25297060248851777,0.9118222222222222,0.3751445897579193,0.8808,0.4076686490531127
70,0.24176053455670674,0.9166888888888889,0.4225154242515564,0.863,0.38483193582289676
71,0.22473684471448263,0.9235111111111111,0.28227508735656737,0.9084,0.3624492082428493
72,0.21855235804451836,0.9244666666666667,0.4203159427165985,0.8692,0.3405449414969586
73,0.2153170828792784,0.9251555555555555,0.3440601321220398,0.8936,0.31914308757931636
74,0.2021554277843899,0.9299777777777778,0.3689748675823212,0.89,0.29826704910296276
75,0.1865924224668079,0.9349777777777778,0.3217508107662201,0.901,0.27793965370947266
76,0.18424342241817052,0.9385333333333333,0.28205771021842957,0.9112,0.25818312910726543
77,0.17354500506718953,0.9397777777777778,0.2752020923614502,0.9116,0.23901907876593048
78,0.1595103708267212,0.9455555555555556,0.30591530351638796,0.9016,0.22046845829315279
79,0.15245350671079425,0.947,0.2700677852630615,0.9136,0.20255155252006207
80,0.13938289592530992,0.9518888888888889,0.2876693628311157,0.9136,0.18528795332006698
81,0.13637043827109865,0.9545777777777777,0.26935426383018496,0.919,0.1686965381854322
82,0.1210224011739095,0.9588222222222222,0.23098621282577514,0.9266,0.152795449585014
83,0.11360056773291693,0.9614666666666667,0.2050881287574768,0.937,0.13760207512573971
84,0.10762796470589107,0.9633555555555555,0.20834823741912842,0.9348,0.12313302853951386
85,0.09996637363963656,0.9661333333333333,0.21147302129268647,0.9352,0.10940413151634566
86,0.09183192839754953,0.9695333333333334,0.19914417083263397,0.9378,0.09643039640356485
87,0.08496680728329553,0.9716666666666667,0.19436043646335602,0.9388,0.0842260097900383
88,0.07898865606387456,0.9734444444444444,0.18896114513874054,0.9388,0.0728043169933454
89,0.07450318575700124,0.9756666666666667,0.18480411405563354,0.9424,0.06217780746686708
90,0.06599428913063474,0.9787333333333333,0.17776700656414032,0.9488,0.05235810114275422
91,0.06338877897659938,0.9788444444444444,0.17721271891593934,0.947,0.04335593572570079
92,0.05988577038380835,0.9803555555555555,0.16902149090766908,0.95,0.03518115495142156
93,0.0529815530359745,0.9826,0.16617907383441924,0.9516,0.027842697822672534
94,0.05179223606851366,0.9833333333333333,0.1646323682308197,0.9502,0.021348588834581645
95,0.049144607575072184,0.9835555555555555,0.1633188409805298,0.9518,0.01570592919998189
96,0.04803213618265258,0.9842666666666666,0.16214711394309997,0.952,0.010920889084339155
97,0.048239301877551606,0.9847777777777778,0.16229033179283142,0.9518,0.006998700858766478
98,0.04628095814784368,0.9852222222222222,0.16038197243213653,0.9524,0.003943653378503591
99,0.04644760138988495,0.9847555555555556,0.16045476801395417,0.9524,0.0017590872931164659
100,0.045610455718305375,0.9851333333333333,0.16025263681411744,0.9516,0.00044739139354586544
